date,site,PM10,PM25,month,year,days_per_month
2015-11-21T11:00:00Z,Ashburton,15.8,5.7,11,2015,30
2015-11-22T11:00:00Z,Ashburton,14.3,2.7,11,2015,30
2015-11-23T11:00:00Z,Ashburton,12.4,2.5,11,2015,30
2015-11-24T11:00:00Z,Ashburton,11.6,3.4,11,2015,30
2015-11-25T11:00:00Z,Ashburton,18.5,3.7,11,2015,30
2015-11-26T11:00:00Z,Ashburton,22.4,4.9,11,2015,30
2015-11-27T11:00:00Z,Ashburton,8.6,2.1,11,2015,30
2015-11-28T11:00:00Z,Ashburton,10.5,3.6,11,2015,30
2015-11-29T11:00:00Z,Ashburton,17.4,6.4,11,2015,30
2015-11-30T11:00:00Z,Ashburton,16.3,6.3,12,2015,31
2015-12-01T11:00:00Z,Ashburton,11.9,3.2,12,2015,31
2015-12-02T11:00:00Z,Ashburton,17.2,4.3,12,2015,31
2015-12-03T11:00:00Z,Ashburton,13,4.8,12,2015,31
2015-12-04T11:00:00Z,Ashburton,15.1,4.4,12,2015,31
2015-12-05T11:00:00Z,Ashburton,6.5,3.5,12,2015,31
2015-12-06T11:00:00Z,Ashburton,10.3,4.5,12,2015,31
2015-12-07T11:00:00Z,Ashburton,10.8,3.7,12,2015,31
2015-12-08T11:00:00Z,Ashburton,9.7,3.7,12,2015,31
2015-12-09T11:00:00Z,Ashburton,20,4.1,12,2015,31
2015-12-10T11:00:00Z,Ashburton,22.8,7.6,12,2015,31
2015-12-11T11:00:00Z,Ashburton,17.4,NA,12,2015,31
2015-12-12T11:00:00Z,Ashburton,8.8,NA,12,2015,31
2015-12-13T11:00:00Z,Ashburton,8.7,NA,12,2015,31
2015-12-14T11:00:00Z,Ashburton,11.1,4.2,12,2015,31
2015-12-15T11:00:00Z,Ashburton,4.6,2.2,12,2015,31
2015-12-16T11:00:00Z,Ashburton,5.1,3.3,12,2015,31
2015-12-17T11:00:00Z,Ashburton,10.7,5,12,2015,31
2015-12-18T11:00:00Z,Ashburton,11.9,5.2,12,2015,31
2015-12-19T11:00:00Z,Ashburton,14.4,4.9,12,2015,31
2015-12-20T11:00:00Z,Ashburton,21,5.9,12,2015,31
2015-12-21T11:00:00Z,Ashburton,10.9,5.1,12,2015,31
2015-12-22T11:00:00Z,Ashburton,12.7,4.6,12,2015,31
2015-12-23T11:00:00Z,Ashburton,13.5,6.5,12,2015,31
2015-12-24T11:00:00Z,Ashburton,13.7,7.4,12,2015,31
2015-12-25T11:00:00Z,Ashburton,12.8,5.6,12,2015,31
2015-12-26T11:00:00Z,Ashburton,17,6.3,12,2015,31
